Id,Modularity Class,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Number of triangles,Eigenvector Centrality,Covertness Centrality
1,0,29,43,4,0.583333333,392.3521719,0.332512315,135,1,0.28567
2,0,2,1,5,0.372781065,0,1,1,0.144818986,0.24754
3,0,27,30,4,0.572727273,320.8381859,0.367521368,129,0.970592025,0.28077
4,3,10,8,4,0.45,0,1,45,0.452421276,0.26895
5,3,10,7,4,0.45,0,1,45,0.452421276,0.26895
6,0,7,6,4,0.434482759,61.26998557,0.19047619,4,0.198123239,0.21266
7,0,22,28,3,0.5,267.6658761,0.367965368,85,0.741055189,0.245
8,1,6,4,3,0.398734177,12.62912088,0.6,9,0.23517146,0.2358
9,1,4,1,3,0.388888889,0,1,6,0.178683846,0.22274
10,0,18,18,3,0.473684211,91.66329166,0.529411765,81,0.704742514,0.23226
11,0,10,6,4,0.409090909,0,1,45,0.471346702,0.24886
12,0,10,7,4,0.409090909,0,1,45,0.471346702,0.24886
13,0,10,7,4,0.409090909,0,1,45,0.471346702,0.24886
14,0,11,6,4,0.411764706,13.16245421,0.836363636,46,0.477921091,0.21004
15,0,11,3,4,0.411764706,51.52142857,0.818181818,45,0.474982869,0.20188
16,0,16,7,3,0.466666667,58.64576752,0.616666667,74,0.652920508,0.22883
17,3,15,10,4,0.473684211,175.8186508,0.466666667,49,0.488809931,0.23226
18,3,16,11,3,0.480916031,232.2502077,0.45,54,0.489495211,0.23569
19,1,8,4,2,0.401273885,147.2830891,0.428571429,12,0.196399154,0.19649
20,3,11,5,3,0.463235294,14.1952381,0.872727273,48,0.485951709,0.23503
21,3,12,3,3,0.473684211,25.67899878,0.787878788,52,0.55138041,0.23226
22,3,14,6,3,0.496062992,246.3920752,0.538461538,49,0.479817049,0.24304
23,3,12,3,3,0.459854015,52.74100067,0.727272727,48,0.466061204,0.2254
24,0,11,5,2,0.488372093,268.98479,0.672727273,37,0.479869693,0.23912
25,0,17,3,2,0.508064516,63.41078089,0.602941176,82,0.723121015,0.24892
26,0,10,2,2,0.446808511,6.029437229,0.822222222,37,0.469159956,0.26748
27,0,4,1,2,0.396226415,0,1,6,0.215631711,0.22617
28,0,8,0,0,0.428571429,0,1,28,0.421214123,0.21021
29,0,10,0,0,0.409090909,0,1,45,0.471346702,0.24886
30,0,13,3,1,0.45323741,164.2050783,0.448717949,35,0.485516296,0.22197
31,3,6,4,3,0.368421053,17.20880231,0.466666667,7,0.082438005,0.22061
32,0,2,0,0,0.333333333,1.125,0,0,0.051595698,0.22794
33,0,2,0,0,0.340540541,0.392857143,0,0,0.063224723,0.23186
34,1,2,0,0,0.340540541,0,1,1,0.072600723,0.23186
35,0,1,0,0,0.335106383,0,0,0,0.054641234,0.22076
36,1,6,5,1,0.355932203,46.49126984,0.4,6,0.086444137,0.17444
37,0,2,0,0,0.336898396,0,1,1,0.08961061,0.2299
38,0,1,0,0,0.323076923,0,0,0,0.051413973,0.21488
39,1,2,0,0,0.305825243,1.25,0,0,0.042844441,0.21471
40,3,5,2,3,0.355932203,1.75,0.8,8,0.097737127,0.19076
41,3,5,1,3,0.355932203,1.75,0.8,8,0.097737127,0.19076
42,3,1,0,0,0.323076923,0,0,0,0.036855696,0.21488
43,3,1,0,0,0.323076923,0,0,0,0.036855696,0.21488
44,3,5,1,2,0.375,27.88412698,0.6,6,0.074150117,0.19191
45,3,3,1,3,0.36627907,39.44869255,0.333333333,1,0.051169232,0.17934
46,4,8,7,2,0.32642487,91.54371594,0.5,14,0.043974747,0.15974
47,4,5,4,1,0.297169811,0,1,10,0.027442467,0.16185
48,4,1,0,0,0.297169811,0,0,0,0.00612298,0.20214
49,4,11,7,1,0.297169811,448.5200998,0.218181818,12,0.11911098,0.14553
50,4,6,3,1,0.431506849,9.914071014,0.933333333,14,0.038152204,0.25197
51,4,6,2,1,0.338709677,9.914071014,0.933333333,14,0.038152204,0.2064
52,4,6,1,1,0.362068966,9.914071014,0.933333333,14,0.038152204,0.21767
53,4,6,0,0,0.333333333,9.914071014,0.933333333,14,0.038152204,0.20346
54,3,1,0,0,0.315,0,0,0,0.037238361,0.21096
55,1,4,2,1,0.315,0,1,6,0.031844859,0.18648
56,1,4,1,1,0.323076923,0,1,6,0.031844859,0.1904
57,1,4,0,0,0.249011858,0,1,6,0.031844859,0.15414
58,3,3,1,2,0.245136187,0,1,3,0.079120498,0.12005
59,3,5,1,1,0.315,25.24152237,0.5,5,0.09218796,0.16251
60,3,1,0,0,0.315,0,0,0,0.036181875,0.21096
61,4,2,0,0,0.315,0,1,1,0.020008351,0.21912
62,4,1,0,0,0.315,0,0,0,0.011794195,0.21096
63,2,2,1,1,0.307317073,0,1,1,0.039817502,0.2152
64,2,2,0,0,0.302884615,0,1,1,0.039817502,0.21324
±ê×¼²î,,6.212426743,,,0.074909485,101.9783249,0.371184165,,,
